,Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Model Order
206,GNRC,0.11900000000000002,0.16636946835282007,0.7315999999999999,0.34785548723571974,"(1, 1, 1)"
207,GOOG,0.1406,0.12028399727312024,6.6056,6.514872020231863,"(4, 1, 1)"
208,GOOGL,0.11300000000000002,0.08782482564742158,241494222726867.0,482988445453730.75,"(0, 1, 1)"
209,GPC,0.131,0.12124520609079768,1.938,2.32045693776032,"(1, 1, 0)"
210,GPN,0.11080000000000001,0.0485279301021587,21.895599999999998,32.822129702991546,"(0, 1, 0)"
211,GRMN,0.0414,0.0175681530047982,0.8646,0.5033529974083795,"(1, 0, 0)"
212,GS,0.060399999999999995,0.07868062023141405,1.032,0.9688296031810754,"(1, 1, 0)"
213,GWW,0.2102,0.19338707299093186,3.7362,5.455264884494611,"(0, 1, 0)"
214,HAL,0.0712,0.05739477328119695,2.8278000000000003,1.3682422884854861,"(1, 1, 0)"
215,HAS,0.1578,0.2428443122661101,9.685199999999998,16.9037208850596,"(1, 1, 1)"
216,HBAN,0.2162,0.3380564449910695,3.6076,5.139023432521008,"(1, 1, 1)"
217,HCA,0.2392,0.3369245612893189,3.7030000000000003,4.370905032141513,"(0, 1, 2)"
218,HD,0.0758,0.06520858839140746,2.6244,2.5503694320627357,"(2, 1, 1)"
219,HES,0.047200000000000006,0.07581398287914967,5.0386,8.703041344265808,"(1, 1, 0)"
220,HIG,0.0704,0.060307876765808954,4.5956,6.208902595467253,"(1, 1, 0)"
221,HII,0.0622,0.04404270654716851,2.5911999999999997,3.4268836805470944,"(0, 1, 1)"
222,HLT,0.1368,0.17409124044592247,1.3728,1.1041496999954308,"(2, 0, 2)"
223,HOLX,0.085,0.03500285702624859,2.9146,3.5205528883969346,"(0, 1, 0)"
224,HON,0.11040000000000001,0.08060421825190045,2.1458000000000004,1.9253009530979828,"(1, 1, 0)"
225,HPE,0.131,0.07852069790825857,1.213,0.17130236425688933,"(0, 1, 1)"
226,HPQ,0.2976,0.2307601352053686,9.342199999999998,13.470497546861436,"(2, 1, 0)"
227,HRL,0.2306,0.099989199416737,1.3446000000000002,0.48110813753250936,"(0, 1, 1)"
228,HSIC,0.096,0.077696846782865,1.5592000000000001,0.8295042857032143,"(1, 1, 0)"
229,HST,0.35900000000000004,0.564420765032613,1.6199999999999999,1.6565526855491193,"(1, 0, 0)"
230,HSY,0.0852,0.08440710870536912,1.7262,1.3378692611761436,"(2, 1, 1)"
231,HUM,0.23120000000000002,0.16505199180864194,2.148,1.0534330543513433,"(0, 1, 1)"
232,HWM,0.02125,0.02431434761617099,1.204,1.051304665641697,"(0, 1, 1)"
233,IBM,0.0526,0.037355588604651914,1.4126,0.5106684247141192,"(0, 1, 1)"
234,ICE,0.09759999999999999,0.0655548625198772,12.1826,21.402236038320858,"(0, 1, 1)"
235,IDXX,0.1646,0.13911520405764427,1.435,0.9639823649839245,"(0, 1, 1)"
236,IEX,0.065,0.05278257288158659,0.9004,0.9316247313162097,"(1, 1, 0)"
237,IFF,0.176,0.2898461660950512,1.8638000000000001,1.4258052321407717,"(0, 1, 1)"
238,ILMN,0.1758,0.3068200775699009,16.7726,30.767806555554138,"(1, 1, 1)"
239,INCY,0.0868,0.0791641332927987,1.2824000000000002,0.8188363939151704,"(0, 1, 1)"
240,INTC,0.12340000000000002,0.1271732676312125,1.5173999999999999,1.6159774255848998,"(3, 1, 1)"
241,INTU,0.20459999999999998,0.15225977801113463,2.0111999999999997,0.7934802833089175,"(0, 1, 2)"
242,INVH,0.055749999999999994,0.03087373479189066,8.62175,10.84947953532795,"(1, 1, 1)"
243,IP,0.1572,0.24277841749216506,6.8524,8.967261133701863,"(1, 1, 1)"
244,IPG,0.022799999999999997,0.0159298462013919,0.331,0.37921392379499996,"(1, 1, 0)"
245,IQV,0.10700000000000001,0.12012160505088168,1.7548000000000001,1.6270797644860562,"(1, 1, 0)"
246,IR,0.039,0.033889526405661084,3.392,4.218166367036749,"(0, 1, 1)"
247,IRM,0.5962,0.6416994311981272,1.309,0.48867780796758103,"(0, 1, 1)"
248,ISRG,0.3807999999999999,0.5796124222271293,2.7638000000000003,2.448765190866613,"(0, 1, 1)"
249,IT,0.2476,0.2698552204423698,2.0898,0.8347232834898043,"(1, 1, 0)"
250,ITW,0.21739999999999998,0.19926525035740678,2.6966,3.3518383970591423,"(1, 1, 0)"
251,IVZ,0.171,0.31762241734487195,6837101503421.445,13674203006841.617,"(1, 1, 0)"
252,J,0.08320000000000001,0.06206899386972533,2.0514,1.776867873534777,"(1, 1, 0)"
253,JBHT,0.1136,0.0844407484571282,1.0666,0.8519240811246035,"(1, 0, 0)"
254,JCI,0.08420000000000001,0.08217882939054316,1.5574,0.7552018538112839,"(2, 1, 1)"
255,JKHY,0.154,0.12384667940643382,2.0021999999999998,0.4656859027284377,"(1, 1, 0)"
256,JNJ,0.4744,0.4756879649518159,4.892799999999999,6.484684553623253,"(1, 1, 0)"
257,JNPR,0.16,0.18246972351598498,1.1503999999999999,0.6368003140702743,"(1, 1, 1)"
258,JPM,0.09140000000000001,0.10110509383804558,0.7265999999999999,0.6036110005624483,"(0, 1, 1)"
259,K,0.15960000000000002,0.08367699803410732,0.9722,0.6715192923513068,"(2, 1, 0)"
260,KDP,0.22579999999999995,0.4152249510807365,0.9001999999999999,0.7794078264939351,"(0, 1, 0)"
261,KEY,0.382,0.6719729161208806,10577351345059.41,21154702690110.117,"(1, 1, 0)"
262,KEYS,0.0778,0.0456306914258375,2.7104,2.0041438670913823,"(1, 1, 3)"
263,KHC,0.046,0.04810405388322278,52128001327835.86,104256002655669.88,"(3, 1, 1)"
264,KIM,0.1424,0.18324584579193057,1.7231999999999998,1.0345028564484489,"(4, 1, 1)"
265,KLAC,0.1338,0.10668345701185354,1.5806,0.7351983677892654,"(0, 1, 0)"
266,KMB,0.11560000000000001,0.17243735094230603,2.6506,2.0218065782858656,"(1, 1, 1)"
267,KMI,0.0402,0.01601749044014074,1.5130000000000001,1.3507405376311175,"(0, 1, 1)"
268,KMX,0.0528,0.07025781095365839,1.1492,0.8291792086153633,"(0, 1, 1)"
269,KO,0.1242,0.13166077623954675,83258016157600.0,120013821864029.03,"(0, 1, 1)"
270,KR,0.1732,0.08957321028075303,0.9026,0.1512885983807108,"(4, 1, 0)"
271,KVUE,0.07,0.0,1.235,0.0,"(1, 1, 1)"
272,L,0.06820000000000001,0.09181590276199435,1.2258,0.5859946757437307,"(0, 1, 1)"
273,LDOS,0.07220000000000001,0.08590785761500515,1.0521999999999998,0.6776271541194316,"(2, 1, 0)"
274,LEN,0.1376,0.15879748108833466,1.0672,0.41856679275833625,"(1, 1, 0)"
275,LH,0.0682,0.06801293994527806,1.8980000000000001,1.2526597303338203,"(0, 1, 1)"
276,LHX,0.11420000000000001,0.13414231248938568,1.0234,0.4816432704813803,"(0, 1, 1)"
277,LIN,0.1014,0.05643970233798191,1.9985999999999997,1.288629132062441,"(3, 1, 1)"
278,LKQ,0.0306,0.019561186058110077,1.016,0.7661206171354481,"(1, 1, 0)"
279,LLY,0.25780000000000003,0.343605238609658,1.8084,1.858127939620951,"(0, 1, 1)"
280,LMT,0.24200000000000005,0.35058351358841733,0.8301999999999999,0.9620942573365668,"(0, 1, 1)"
281,LNT,0.16499999999999998,0.2435545113521817,0.9321999999999999,0.3746557886914334,"(1, 1, 1)"
282,LOW,0.1534,0.16522179033045248,2.1515999999999997,0.9860644198022764,"(3, 1, 1)"
283,LRCX,0.23939999999999992,0.3602458049721051,1.3357999999999999,0.8089253117562832,"(0, 1, 1)"
284,LUV,0.0596,0.05126246189952254,9.8652,17.068688847125898,"(0, 1, 1)"
285,LVS,0.0884,0.05539169612857147,1.6797999999999997,1.3152142639129183,"(0, 1, 1)"
286,LW,0.065,0.08193289937503737,2.86175,3.5980499840191214,"(0, 1, 1)"
287,LYB,0.0888,0.05582615874301222,2.552,2.316812379110574,"(0, 1, 1)"
288,LYV,0.05800000000000001,0.03132411211830273,2.2808,1.8996484306313102,"(2, 1, 1)"
289,MA,0.0826,0.06185337500896778,4.7402,4.194940543082822,"(1, 1, 0)"
290,MAA,0.15100000000000002,0.1952465108523069,1.526,0.981459729178941,"(0, 1, 2)"
291,MAR,0.05639999999999999,0.052735566745793105,1.1082,0.4528286210035757,"(1, 1, 0)"
292,MAS,0.0868,0.08107872717303842,1.0376,1.0878445844880602,"(0, 1, 1)"
293,MCD,0.0474,0.02377057003944163,1.1708,1.0496663088810652,"(2, 1, 0)"
294,MCHP,0.23759999999999998,0.36117895841258524,1.5480000000000003,0.9782525236358964,"(0, 1, 0)"
295,MCK,0.1052,0.09754260607549911,1.4522,0.7934276022423219,"(2, 1, 1)"
296,MCO,0.06760000000000001,0.06826595051707696,1.2954,0.8284787504818696,"(1, 1, 0)"
297,MDLZ,0.48240000000000005,0.8885330832332581,0.6734,0.7071012940166351,"(4, 1, 0)"
298,MDT,0.3596,0.51193265182053,5.2006,6.1041318989681095,"(3, 1, 1)"
299,MET,0.0392,0.015432433379088343,2.6336000000000004,2.2228420186778908,"(0, 1, 1)"
300,META,0.0516,0.056972273958479126,19.6726,28.538022836910056,"(0, 1, 2)"
301,MGM,0.0762,0.07753038114184657,1.7635999999999998,1.8350113460139696,"(2, 1, 1)"
302,MHK,0.06640000000000001,0.08195266926708368,0.9688000000000001,0.4180714771423662,"(1, 1, 1)"
303,MKC,0.11720000000000001,0.08834115688624414,0.7902,0.4318862813287776,"(0, 1, 1)"
304,MKTX,0.1278,0.11357358847901215,3.7282,2.935425856668841,"(1, 1, 1)"
305,MLM,0.2582,0.4652218395561412,0.9676,0.5123259118959337,"(2, 1, 0)"
306,MMC,0.0988,0.12134314978605096,7.072800000000001,10.678842978525344,"(1, 1, 0)"
307,MMM,0.11220000000000001,0.12253228146084605,1.2016000000000002,0.4933135311341055,"(3, 1, 1)"
308,MNST,0.0818,0.07168095981500247,2.1592,2.7277022858075983,"(1, 1, 0)"
309,MO,0.1072,0.10252297303531535,2.8468000000000004,2.325342073760331,"(3, 1, 0)"
310,MOH,0.18339999999999998,0.06191478014173999,2.3543999999999996,1.667132820143614,"(2, 1, 0)"
311,MOS,0.0764,0.06328538535870663,1.6796,1.495674777483394,"(1, 1, 0)"
312,MPC,0.0714,0.08111374729353836,1.8806,0.8765456291602851,"(1, 1, 0)"
313,MPWR,0.21059999999999998,0.16326861302773416,1.5676,0.8953836272793914,"(0, 1, 1)"
314,MRK,0.10980000000000001,0.0974195052338083,2.4905999999999997,1.8349631712925465,"(0, 1, 1)"
315,MRNA,0.517,0.5717557753680034,1.6736666666666666,1.5190642587534677,"(2, 0, 1)"
316,MRO,0.045200000000000004,0.043700800907992526,4.3766,4.237448883467504,"(2, 1, 0)"
317,MS,0.0652,0.06625526394181823,0.8038000000000001,0.760949774952329,"(1, 0, 0)"
318,MSCI,0.2466,0.21500753475169188,4.7402,7.044647426237881,"(0, 1, 2)"
319,MSFT,0.1384,0.09249129688786939,4.752000000000001,4.095275180009275,"(1, 1, 0)"
320,MSI,0.0426,0.038825764641536684,0.6990000000000001,0.4964614788681998,"(1, 1, 0)"
321,MTB,0.16140000000000002,0.1947178471532592,2.4206000000000003,1.303948557267502,"(0, 1, 1)"
322,MTCH,0.064,0.07391075699788224,1.8634,1.3000673213337837,"(0, 1, 0)"
323,MTD,0.1906,0.22147740291054524,2.0848000000000004,2.5218951128070337,"(0, 1, 1)"
324,MU,0.12979999999999997,0.04330080830654319,3.0912,3.123910715753573,"(0, 1, 0)"
325,NCLH,0.15719999999999998,0.21422362147998522,1.8154,1.8545251252005186,"(1, 1, 2)"
326,NDAQ,0.1268,0.1254964541331746,2.2668,0.6473185923484664,"(0, 1, 1)"
327,NDSN,0.041600000000000005,0.06060231018698876,0.6738,0.5335197840755299,"(1, 1, 1)"
328,NEE,0.21500000000000002,0.17012466017600153,1.6788,1.1751892443347156,"(0, 1, 0)"
329,NEM,0.23579999999999995,0.26924590990393893,1.3054,0.5463136827867301,"(1, 1, 2)"
