Ticker,Average RMSE,Std. Dev. RMSE,Average MAPE,Std. Dev. MAPE,Best Model
MHK,9.30044842851805,3.857613912019773,0.0529753421979073,0.0336311248132648,<keras.src.engine.sequential.Sequential object at 0x7de634f323b0>
MKC,1.9547437979625768,0.9801097001830796,0.0237916025977454,0.0070291863484019,<keras.src.engine.sequential.Sequential object at 0x7de6bfbd0610>
MKTX,13.91237987474636,8.750662437529323,0.0504471419460806,0.026181558650387,<keras.src.engine.sequential.Sequential object at 0x7de63488d090>
MLM,11.444956082905232,5.8566646433352725,0.0348746227071028,0.0119218946057329,<keras.src.engine.sequential.Sequential object at 0x7de6344780a0>
MMC,3.186103592433804,1.990129897654664,0.0230587861602741,0.0063203159693027,<keras.src.engine.sequential.Sequential object at 0x7de6d0cc0310>
MMM,4.773940863613999,1.094621575005897,0.0293127360274239,0.0070877632089963,<keras.src.engine.sequential.Sequential object at 0x7de62d8b6c80>
MNST,1.1935655882105034,0.3364138763610794,0.0296247617155874,0.0132200592777149,<keras.src.engine.sequential.Sequential object at 0x7de62cb12a70>
MO,1.4074636617408351,0.5230604210925662,0.0310530166910979,0.0098869018938421,<keras.src.engine.sequential.Sequential object at 0x7de6407efaf0>
MOH,5.628073247009333,2.276501233045387,0.0322156816133292,0.0095303828323471,<keras.src.engine.sequential.Sequential object at 0x7de6464a6d10>
MOS,2.074101430320653,0.6208832093306866,0.0630969766896344,0.0203239895988689,<keras.src.engine.sequential.Sequential object at 0x7de62c7d2860>
MPC,4.157338928974106,2.830266098375706,0.0514309626356518,0.009127919462665,<keras.src.engine.sequential.Sequential object at 0x7de635aacd30>
MPWR,24.810771665240527,26.043996804866183,0.0629844969702811,0.0361250930304594,<keras.src.engine.sequential.Sequential object at 0x7de634bfce20>
MRK,2.1055840371052725,0.9422359465539916,0.0247487170386295,0.0105519743366299,<keras.src.engine.sequential.Sequential object at 0x7de6d17640a0>
MRNA,21.650070116227564,22.23418337696257,0.1078723765720395,0.0254016716159873,<keras.src.engine.sequential.Sequential object at 0x7de6242aa350>
MRO,1.6217769369867792,1.416878693298717,0.089075808378757,0.0695526718694975,<keras.src.engine.sequential.Sequential object at 0x7de743f3e470>
MS,2.639154407054021,1.51531726753109,0.0383048310053514,0.0089744389401519,<keras.src.engine.sequential.Sequential object at 0x7de6ca47f340>
MSCI,16.932274342588947,16.421731932427363,0.0440425691922875,0.0195714901023376,<keras.src.engine.sequential.Sequential object at 0x7de6d0b05870>
MSFT,8.673008731771123,7.355673235353173,0.0401938602962367,0.0175927209559368,<keras.src.engine.sequential.Sequential object at 0x7de6245a14e0>
MSI,4.175652309679362,2.0422793917698394,0.0241490812643904,0.0083811277657479,<keras.src.engine.sequential.Sequential object at 0x7de6cfe0ba00>
MTB,5.132366354198538,1.0397560700011377,0.0353363109862157,0.0081599218729039,<keras.src.engine.sequential.Sequential object at 0x7de6400bd630>
MTCH,5.163597049908966,4.6344808736985925,0.0622606272415628,0.0180503863203299,<keras.src.engine.sequential.Sequential object at 0x7de61c11a020>
MTD,33.28567410899136,16.74638552550303,0.0342575166859664,0.0151033751174682,<keras.src.engine.sequential.Sequential object at 0x7de6018bdc00>
MU,3.6737051782576806,1.2629247484902857,0.0925288315153179,0.0785249938472006,<keras.src.engine.sequential.Sequential object at 0x7de634c67f10>
NCLH,1.9923704372308897,0.9064125409691892,0.047263650342806,0.0238795905510157,<keras.src.engine.sequential.Sequential object at 0x7de6b8118700>
NDAQ,1.53102543668096,0.5486819537927812,0.0415386276817862,0.0119297451270068,<keras.src.engine.sequential.Sequential object at 0x7de61c2b97b0>
NDSN,5.477315334461333,1.9268298849666392,0.0316965322422359,0.0117877616745802,<keras.src.engine.sequential.Sequential object at 0x7de601657c10>
NEE,1.4970255340037806,0.7049291928147547,0.0270022612841258,0.011578951945521,<keras.src.engine.sequential.Sequential object at 0x7de600f318d0>
NEM,1.6093293448493688,0.2750617180519048,0.0488492822980262,0.0318877893363149,<keras.src.engine.sequential.Sequential object at 0x7de601df3400>
NFLX,18.65977827249024,6.851494811223243,0.0534631875530437,0.0144734729926999,<keras.src.engine.sequential.Sequential object at 0x7de5f9597c10>
NI,0.6260903222915438,0.1984360931088255,0.0252190268864833,0.009078623105089,<keras.src.engine.sequential.Sequential object at 0x7de601ac9bd0>
NKE,5.9618109876712735,6.132158864337942,0.0464097796599759,0.0302103841801591,<keras.src.engine.sequential.Sequential object at 0x7de5f8e55a20>
NOC,9.819013851614605,3.1324524928388944,0.0287472307994389,0.0069849248126038,<keras.src.engine.sequential.Sequential object at 0x7de601657370>
NOW,21.75460498932691,20.142902931524237,0.0494390393379378,0.0257327132372548,<keras.src.engine.sequential.Sequential object at 0x7de5d4f88c10>
NRG,1.5446796828678817,0.6427661324458374,0.0510617306325851,0.0283692301413692,<keras.src.engine.sequential.Sequential object at 0x7de5d4e850c0>
NSC,6.050447553934065,2.350779582172145,0.0342024260327228,0.0086725001091233,<keras.src.engine.sequential.Sequential object at 0x7de5f83106a0>
NTAP,2.982824015130753,1.728202995507929,0.0493363665872153,0.0279704651094267,<keras.src.engine.sequential.Sequential object at 0x7de61dd43b50>
NTRS,3.2022935683519647,0.6174388873502195,0.0326034337454924,0.0089586954346857,<keras.src.engine.sequential.Sequential object at 0x7de60077ada0>
NUE,5.371614945997411,4.3848207769251575,0.0492366298137078,0.0165797315004261,<keras.src.engine.sequential.Sequential object at 0x7de61c15b280>
NVDA,15.24906860673282,17.138951022392728,0.0785513304317247,0.0250907075126356,<keras.src.engine.sequential.Sequential object at 0x7de5f9d17520>
NVR,142.74332953171893,68.12417665056864,0.0317491018688002,0.0040058966734199,<keras.src.engine.sequential.Sequential object at 0x7de5f81531c0>
NWS,0.7898820765963244,0.3741227790278443,0.0384413077010809,0.0117651352571663,<keras.src.engine.sequential.Sequential object at 0x7de617f9f6d0>
NWSA,0.6601717970362198,0.0976071690987903,0.0338890582743103,0.0082974905899662,<keras.src.engine.sequential.Sequential object at 0x7de5f9ba92d0>
NXPI,6.951193880355059,2.801857592962707,0.046267930710144,0.0258259470898571,<keras.src.engine.sequential.Sequential object at 0x7de6cf6d5a20>
O,1.5485839881753751,0.6809175305951293,0.0247363855566638,0.0076974232205804,<keras.src.engine.sequential.Sequential object at 0x7de5f82092d0>
ODFL,11.872594362248382,12.793440375640142,0.0525564036412932,0.0213581764283914,<keras.src.engine.sequential.Sequential object at 0x7de6258737f0>
OGN,1.2372830038197296,0.3723411737078538,0.0483230091729935,0.0219059550028065,<keras.src.engine.sequential.Sequential object at 0x7de625146440>
OKE,2.1074670477775914,0.678294841462917,0.0439514378129686,0.0119794668149818,<keras.src.engine.sequential.Sequential object at 0x7de5d46f89a0>
OMC,3.065327863320276,1.3078148419341262,0.0357824782359806,0.0111641407120474,<keras.src.engine.sequential.Sequential object at 0x7de5f9b955d0>
ON,3.618809729307088,4.112496867671737,0.0678276245529263,0.0215110434226793,<keras.src.engine.sequential.Sequential object at 0x7de5f81d96c0>
ORCL,2.971063938009578,0.8483803911882692,0.0429524779239982,0.0110865647371838,<keras.src.engine.sequential.Sequential object at 0x7de5f81db160>
ORLY,19.73086923045576,9.828563082385312,0.0438527700437032,0.0278116419321402,<keras.src.engine.sequential.Sequential object at 0x7de5a5e01ed0>
OTIS,1.831954208223174,0.1225931679395314,0.0175457038557785,9.864097626096496e-06,<keras.src.engine.sequential.Sequential object at 0x7de600b63370>
OXY,3.0832675537527257,1.871081970165418,0.0648674180204344,0.0465736424633085,<keras.src.engine.sequential.Sequential object at 0x7de5f9178640>
PANW,6.743317681710863,5.412488431323701,0.0471976496846908,0.0183447311496759,<keras.src.engine.sequential.Sequential object at 0x7de5f86bd840>
