,n_estimators,max_depth,learning_rate,RMSE Avg.,RMSE Std.,MAPE Avg.,MAPE Std.,Accuracy
GD,50,3,0.3,1.7256684967118552,0.6251872988759807,0.00863298246748682,0.004536626064183125,0.4
GE,50,5,0.2,1.5290558396337033,0.7663615339902133,0.014580088349107994,0.008879003670677644,0.76
GIS,100,3,0.1,0.8399563840291024,0.2082320621932031,0.014982125237356115,0.004923233044500721,0.36
GM,100,8,0.1,0.9457082145530029,0.5837131988298151,0.025349570377604148,0.016703716560928707,0.48
GPC,50,3,0.1,1.0686738830512177,0.421488037833965,0.010141600998613729,0.006864935733276003,0.68
GILD,100,3,0.1,0.9241712825139358,0.645840713226421,0.011514975391347345,0.006948347405926765,0.6
GL,50,4,0.1,0.9267311024493926,0.45253108358976873,0.011687352322465485,0.008732701587733089,0.44
GPN,500,4,0.1,1.5733729292265695,0.8284795197536096,0.012333968101753605,0.008244808057281125,0.8
GS,200,3,0.2,4.028029715791911,1.7377347458665435,0.014226683035723331,0.006702883755789234,0.44
HAL,200,3,0.3,1.0417047888418796,0.8815138745376038,0.0361724238925891,0.026566978044957282,0.44
HIG,50,4,0.3,0.6519150977828987,0.1605194784601458,0.01034037763202002,0.004926643166874317,0.56
HAS,50,3,0.2,2.255479900726422,0.9866928905356149,0.02382235108235761,0.01043693082144233,0.48
HCA,200,8,0.1,2.4815391882323303,1.3329707151250239,0.014148681453980785,0.007263446615462547,0.6
PEAK,200,3,0.1,0.3044615524788662,0.18373509149489078,0.010526281882919843,0.006531458534066388,0.44
HSIC,500,8,0.01,0.7062754270467964,0.30244300521813466,0.009097386964353759,0.005983943608283643,0.68
HSY,50,5,0.2,2.013240712355145,0.8403267899243575,0.013748659692708384,0.008464846752400175,0.44
HES,100,3,0.1,2.098787806582257,1.1973846201538645,0.03169076206982096,0.025844031820888586,0.52
HPE,500,3,0.2,0.33425643608989153,0.23698090974373787,0.020906712588405766,0.015044659737896964,0.48
HLT,200,5,0.2,1.5981990569355289,0.718727792819205,0.013865668881662727,0.004858419477515355,0.64
HOLX,100,8,0.1,0.6100072804326162,0.1896259471420508,0.008397959159668403,0.0015136297511240276,0.76
HD,500,3,0.2,2.7225681800954113,0.8710763558034273,0.013510664852580595,0.008111441223730706,0.44
HON,50,3,0.3,1.847865912941332,1.3080501124349726,0.01190586606804328,0.010369570205056442,0.64
HRL,100,3,0.2,0.6513339034381846,0.28112997033145615,0.016745256439027655,0.00974910004961207,0.56
HST,50,3,0.3,0.2747633995439955,0.10189311852312988,0.017153007150617048,0.007260874799783064,0.68
HWM,500,3,0.01,0.5312335916478123,0.19990193382536353,0.01316368673689596,0.0063899949469846335,0.72
HPQ,100,3,0.2,0.3631860055252538,0.12849068282765055,0.01916867234700447,0.011627214946793758,0.68
HUM,50,3,0.3,5.012572561601704,2.044993193461277,0.015158026132074547,0.007240909948737647,0.36
